outcome_d,intervention,fightcaphigh,mi_fightcap,troops2rebs,coup,land,lngdp,lnyears,postCW,outcome_dy,exgov_combat,strongrebs_dy,mi_strongrebs_dy,exreb_combat,coup_dy,land,lngdp,lnyears,postCW,dyad_id,year,conflictid,Government,Opposition
,,0,,,,0,6.064483,0,0,0,0,0,0,0,0,0,6.064483,0,0,48,1989,70,"Ethiopia","EPRDF"
,,0,,,,0,6.139303,.6931472,1,0,0,0,0,0,0,0,6.139303,.6931472,1,48,1990,70,"Ethiopia","EPRDF"
1,0,0,0,0,0,0,6.078032,1.098612,1,1,0,0,0,0,0,0,6.078032,1.098612,1,48,1991,70,"Ethiopia","EPRDF"
3,0,0,0,0,1,0,6.064483,0,0,4,0,0,0,0,1,0,6.064483,0,0,49,1989,70,"Ethiopia","Military faction (forces of Amsha Desta and Merid Negusie)"
,,0,,,,0,6.205951,0,0,0,0,0,0,0,0,0,6.205951,0,0,50,1976,70,"Ethiopia","EPRP"
0,0,0,0,0,0,0,6.19363,.6931472,0,2,0,0,0,0,0,0,6.19363,.6931472,0,50,1977,70,"Ethiopia","EPRP"
,,0,,,,0,6.140919,1.098612,0,0,0,0,0,0,,0,6.140919,1.098612,0,50,1984,70,"Ethiopia","EPRP"
,,0,,,,0,6.135478,1.386294,0,0,0,0,0,0,,0,6.135478,1.386294,0,50,1985,70,"Ethiopia","EPRP"
0,0,0,0,0,0,0,5.90039,1.386294,0,2,0,0,0,0,0,0,5.90039,1.386294,0,50,1987,70,"Ethiopia","EPRP"
,,0,,,,0,6.146672,1.609438,0,0,0,0,0,0,,0,6.146672,1.609438,0,50,1986,70,"Ethiopia","EPRP"
,,0,,,,1,6.193099,0,0,0,,0,0,,0,1,6.193099,0,0,51,1975,168,"Ethiopia","ALF"
,0,0,0,0,0,1,6.205951,.6931472,0,,,0,0,,0,1,6.205951,.6931472,0,51,1976,168,"Ethiopia","ALF"
0,0,0,0,0,0,1,6.471032,0,1,2,,0,0,,0,1,6.471032,0,1,52,1996,168,"Ethiopia","ARDUF"
,,0,,,,1,6.219814,0,0,0,,0,0,,0,1,6.219814,0,0,53,1973,78,"Ethiopia","EPLF"
,,0,,,,1,6.193099,.6931472,0,0,0,0,0,0,0,1,6.193099,.6931472,0,53,1975,78,"Ethiopia","EPLF"
,,0,,,,1,6.205951,1.098612,0,0,0,0,0,0,0,1,6.205951,1.098612,0,53,1976,78,"Ethiopia","EPLF"
,,0,,,,1,6.19363,1.386294,0,0,1,0,0,0,0,1,6.19363,1.386294,0,53,1977,78,"Ethiopia","EPLF"
,,0,,,,1,6.172786,1.609438,0,0,1,0,0,0,0,1,6.172786,1.609438,0,53,1978,78,"Ethiopia","EPLF"
,,0,,,,1,6.19984,1.791759,0,0,0,0,0,0,0,1,6.19984,1.791759,0,53,1979,78,"Ethiopia","EPLF"
,,0,,,,1,6.225152,1.94591,0,0,0,0,0,0,0,1,6.225152,1.94591,0,53,1980,78,"Ethiopia","EPLF"
,,0,,,,1,6.244885,2.079442,0,0,0,0,0,0,0,1,6.244885,2.079442,0,53,1981,78,"Ethiopia","EPLF"
